,timestampa,sid,msg,clasificacion,prioridad,protocolo,origen,destino,puerto,id,ip,localizacion,nombre_responsable,analisis_id,id,puertosabiertos,numberports,servicios,servicios_inseguros,vulnerabilidades
7586,2022-07-23 17:21:16,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7588,2022-07-23 17:35:13,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7597,2022-07-23 17:48:42,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7603,2022-07-23 18:01:45,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7610,2022-07-23 18:14:22,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7617,2022-07-23 18:26:33,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7618,2022-07-23 18:29:12,2018056.0,ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY. ,A Network Trojan was detected,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7619,2022-07-23 18:29:12,2031562.0,ET EXPLOIT Zimbra <8.8.11 - XML External Entity Injection/SSRF Attempt (CVE-2019-9621) ,Attempted User Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7620,2022-07-23 18:29:12,2037040.0,ET EXPLOIT Possible Zimbra Autodiscover Servlet XXE (CVE-2019-9670) ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7621,2022-07-23 18:38:20,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7644,2022-07-23 20:27:03,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7645,2022-07-23 20:27:03,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7646,2022-07-23 20:27:03,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7663,2022-07-23 21:06:12,2011465.0,ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt ,Web Application Attack,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7664,2022-07-23 21:06:12,2034125.0,ET EXPLOIT Apache HTTP Server 2.4.49 - Path Traversal Attempt (CVE-2021-41773) M2 ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7714,2022-07-24 02:20:01,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7715,2022-07-24 02:20:01,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7716,2022-07-24 02:20:01,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7732,2022-07-24 03:47:48,2025883.0,ET EXPLOIT MVPower DVR Shell UCE ,Attempted Administrator Privilege Gain,1,TCP,222.112.250.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7733,2022-07-24 03:47:48,2029022.0,ET SCAN Mirai Variant User-Agent (Inbound) ,Attempted Administrator Privilege Gain,1,TCP,222.112.250.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7734,2022-07-24 03:47:48,2030093.0,ET SCAN JAWS Webserver Unauthenticated Shell Command Execution ,Web Application Attack,1,TCP,222.112.250.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7759,2022-07-24 05:10:20,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7760,2022-07-24 05:10:20,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7761,2022-07-24 05:10:20,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7799,2022-07-24 07:30:04,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7960,2022-07-24 10:12:04,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7964,2022-07-24 10:19:47,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7966,2022-07-24 10:48:26,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7970,2022-07-24 11:07:10,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7980,2022-07-24 11:29:47,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7985,2022-07-24 11:48:41,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7993,2022-07-24 12:07:16,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8000,2022-07-24 12:25:32,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8001,2022-07-24 12:43:30,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8006,2022-07-24 13:01:10,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8007,2022-07-24 13:18:32,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8008,2022-07-24 13:35:37,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8018,2022-07-24 13:52:25,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8020,2022-07-24 14:00:19,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8021,2022-07-24 14:05:26,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8022,2022-07-24 14:17:17,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8023,2022-07-24 14:17:17,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8024,2022-07-24 14:17:17,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,141.98.6.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8025,2022-07-24 14:24:55,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8026,2022-07-24 14:32:02,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8033,2022-07-24 14:56:04,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8041,2022-07-24 15:09:06,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8043,2022-07-24 15:35:04,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8044,2022-07-24 15:53:41,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8045,2022-07-24 16:12:00,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8049,2022-07-24 16:30:01,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8051,2022-07-24 16:47:43,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8052,2022-07-24 16:54:24,2018056.0,ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY. ,A Network Trojan was detected,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8053,2022-07-24 16:54:24,2031562.0,ET EXPLOIT Zimbra <8.8.11 - XML External Entity Injection/SSRF Attempt (CVE-2019-9621) ,Attempted User Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8054,2022-07-24 16:54:24,2037040.0,ET EXPLOIT Possible Zimbra Autodiscover Servlet XXE (CVE-2019-9670) ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8055,2022-07-24 17:05:08,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8056,2022-07-24 17:22:15,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8058,2022-07-24 17:39:05,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8059,2022-07-24 17:55:38,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8060,2022-07-24 18:11:55,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8067,2022-07-24 18:27:56,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8129,2022-07-24 23:27:22,2034755.0,ET EXPLOIT Apache Obfuscated log4j RCE Attempt (tcp ldap) (CVE-2021-44228) ,Attempted Administrator Privilege Gain,1,TCP,141.255.162.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8202,2022-07-25 06:02:17,2026731.0,ET WEB_SERVER ThinkPHP RCE Exploitation Attempt ,Attempted Administrator Privilege Gain,1,TCP,221.145.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8203,2022-07-25 06:02:17,2027122.0,ET MALWARE ELF/Mirai Variant UA Inbound (Tsunami) ,A Network Trojan was detected,1,TCP,221.145.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8215,2022-07-25 06:48:39,2025883.0,ET EXPLOIT MVPower DVR Shell UCE ,Attempted Administrator Privilege Gain,1,TCP,94.30.154.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8216,2022-07-25 06:48:39,2029022.0,ET SCAN Mirai Variant User-Agent (Inbound) ,Attempted Administrator Privilege Gain,1,TCP,94.30.154.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8217,2022-07-25 06:48:39,2030093.0,ET SCAN JAWS Webserver Unauthenticated Shell Command Execution ,Web Application Attack,1,TCP,94.30.154.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8242,2022-07-25 07:30:04,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8262,2022-07-25 08:22:18,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8276,2022-07-25 08:50:57,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8294,2022-07-25 09:48:04,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8301,2022-07-25 09:59:47,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8302,2022-07-25 10:13:34,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8315,2022-07-25 10:37:25,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8320,2022-07-25 10:56:07,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8327,2022-07-25 11:14:30,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8329,2022-07-25 11:30:31,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8337,2022-07-25 12:32:28,2026731.0,ET WEB_SERVER ThinkPHP RCE Exploitation Attempt ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8471,2022-07-25 13:36:55,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8473,2022-07-25 13:44:29,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8476,2022-07-25 13:49:37,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8491,2022-07-25 14:14:24,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8492,2022-07-25 14:24:12,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8505,2022-07-25 14:45:51,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8508,2022-07-25 14:56:10,2009955.0,ET WEB_SERVER Tilde in URI - potential .php~ source disclosure vulnerability ,Web Application Attack,1,TCP,35.180.152.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8520,2022-07-25 15:01:34,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8534,2022-07-25 15:14:52,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8535,2022-07-25 15:15:02,2018056.0,ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY. ,A Network Trojan was detected,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8536,2022-07-25 15:15:02,2031562.0,ET EXPLOIT Zimbra <8.8.11 - XML External Entity Injection/SSRF Attempt (CVE-2019-9621) ,Attempted User Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
8537,2022-07-25 15:15:02,2037040.0,ET EXPLOIT Possible Zimbra Autodiscover Servlet XXE (CVE-2019-9670) ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
